date,tempmax,tempmin,conditions,precip
2024-08-21,20.6,12.9,"Rain, Partially cloudy",0.637
2024-08-22,23.2,12.4,Partially cloudy,0.0
2024-08-23,22.5,16.4,"Rain, Partially cloudy",0.17
2024-08-24,24.0,15.9,"Rain, Overcast",5.522
2024-08-25,19.9,11.6,"Rain, Partially cloudy",1.148
2024-08-26,22.0,12.8,"Rain, Partially cloudy",0.196
2024-08-27,25.0,12.3,"Rain, Partially cloudy",0.653
2024-08-28,29.1,13.8,Partially cloudy,0.0
2024-08-29,22.3,17.0,Partially cloudy,0.0
2024-08-30,22.1,15.0,"Rain, Partially cloudy",0.145
2024-08-31,23.3,16.9,"Rain, Partially cloudy",2.664
2024-09-01,30.2,18.0,"Rain, Partially cloudy",0.978
2024-09-02,24.7,18.2,"Rain, Partially cloudy",0.214
2024-09-03,20.7,17.4,"Rain, Overcast",0.202
2024-09-04,19.9,14.3,"Rain, Partially cloudy",1.805
2024-09-05,21.3,16.2,"Rain, Overcast",0.107
2024-09-06,18.6,15.9,"Rain, Overcast",6.803
2024-09-07,23.6,13.1,"Rain, Partially cloudy",0.161
2024-09-08,20.0,14.3,"Rain, Partially cloudy",3.13
2024-09-09,17.9,15.3,"Rain, Overcast",5.043
2024-09-10,16.2,11.6,"Rain, Partially cloudy",2.514
2024-09-11,15.7,10.8,"Rain, Partially cloudy",10.207
2024-09-12,14.6,9.3,"Rain, Partially cloudy",1.478
2024-09-13,15.0,9.3,"Rain, Partially cloudy",2.327
2024-09-14,17.4,7.0,"Rain, Partially cloudy",1.482
2024-09-15,18.7,7.8,Partially cloudy,0.0
2024-09-16,19.2,13.4,"Rain, Partially cloudy",0.146
2024-09-17,20.1,12.8,"Rain, Partially cloudy",0.078
2024-09-18,21.1,14.4,Partially cloudy,0.0
2024-09-19,23.3,15.3,Rain,0.074
2024-09-20,22.2,14.4,Clear,0.0
2024-09-21,24.8,13.0,Partially cloudy,0.0
2024-09-22,22.7,16.4,"Rain, Partially cloudy",1.654
2024-09-23,19.1,13.5,"Rain, Partially cloudy",1.982
2024-09-24,17.1,12.6,"Rain, Partially cloudy",0.461
2024-09-25,17.3,13.1,"Rain, Overcast",2.579
2024-09-26,19.7,14.2,"Rain, Partially cloudy",8.54
2024-09-27,14.0,10.9,"Rain, Partially cloudy",9.534
2024-09-28,14.2,7.6,"Rain, Partially cloudy",1.647
2024-09-29,14.7,4.5,"Rain, Partially cloudy",0.054
2024-09-30,16.4,10.9,"Rain, Overcast",3.337
2024-10-01,15.6,11.5,"Rain, Overcast",2.113
2024-10-02,16.1,8.8,"Rain, Partially cloudy",0.59
2024-10-03,14.5,8.9,Partially cloudy,0.0
2024-10-04,15.0,5.7,Rain,0.054
2024-10-05,16.7,5.2,"Rain, Partially cloudy",0.027
2024-10-06,15.9,7.5,"Rain, Partially cloudy",0.101
2024-10-07,18.4,12.2,"Rain, Partially cloudy",0.482
2024-10-08,18.6,13.1,"Rain, Partially cloudy",0.11
2024-10-09,15.0,13.2,"Rain, Partially cloudy",4.105
2024-10-10,13.6,9.3,"Rain, Overcast",3.278
2024-10-11,12.9,6.0,"Rain, Partially cloudy",0.994
2024-10-12,12.2,4.9,"Rain, Partially cloudy",0.32
2024-10-13,12.1,8.0,"Rain, Partially cloudy",0.111
2024-10-14,10.1,7.3,"Rain, Overcast",5.535
2024-10-15,16.2,8.9,"Rain, Overcast",1.548
2024-10-16,23.0,13.3,Partially cloudy,0.0
2024-10-17,18.8,14.4,"Rain, Overcast",1.779
2024-10-18,16.6,13.4,"Rain, Overcast",1.888
2024-10-19,15.4,12.2,"Rain, Overcast",1.361
2024-10-20,17.5,11.5,"Rain, Overcast",0.616
2024-10-21,14.7,11.9,"Rain, Overcast",8.699
2024-10-22,16.3,8.2,"Rain, Partially cloudy",3.577
2024-10-23,16.8,9.3,"Rain, Partially cloudy",0.081
2024-10-24,16.2,6.1,Rain,0.146
2024-10-25,20.1,10.6,"Rain, Partially cloudy",0.081
2024-10-26,18.1,12.2,"Rain, Partially cloudy",2.46
2024-10-27,15.9,9.1,"Rain, Partially cloudy",0.806
2024-10-28,15.5,9.0,"Rain, Partially cloudy",0.027
2024-10-29,13.7,12.5,"Rain, Overcast",0.379
2024-10-30,14.8,12.5,"Rain, Overcast",0.893
2024-10-31,16.4,10.1,Partially cloudy,0.0
2024-11-01,11.7,9.2,"Rain, Overcast",0.006
2024-11-02,12.8,11.0,"Rain, Overcast",0.065
2024-11-03,11.2,9.8,Overcast,0.0
2024-11-04,9.9,6.4,Overcast,0.0
2024-11-05,8.8,6.2,"Rain, Overcast",0.054
2024-11-06,12.3,9.1,"Rain, Overcast",0.114
2024-11-07,10.2,7.0,Overcast,0.0
2024-11-08,6.9,5.8,"Rain, Overcast",0.064
2024-11-09,8.3,6.3,"Rain, Overcast",0.102
2024-11-10,10.2,8.3,"Rain, Overcast",0.043
2024-11-11,12.7,9.5,"Rain, Partially cloudy",0.446
2024-11-12,10.6,7.0,"Rain, Partially cloudy",2.249
2024-11-13,11.9,5.4,"Rain, Partially cloudy",0.102
2024-11-14,12.2,9.0,"Rain, Overcast",0.435
2024-11-15,10.7,8.4,"Rain, Overcast",0.239
2024-11-16,9.8,7.3,"Rain, Overcast",0.027
2024-11-17,9.9,7.6,"Rain, Overcast",1.209
2024-11-18,9.2,7.0,"Rain, Partially cloudy",5.2
2024-11-19,12.4,5.2,"Rain, Overcast",21.5
2024-11-20,5.9,2.9,"Rain, Partially cloudy",0.3
2024-11-21,3.1,0.5,"Snow, Rain, Partially cloudy",0.271
2024-11-22,7.0,1.5,"Rain, Partially cloudy",0.056
2024-11-23,10.0,1.1,"Rain, Partially cloudy",1.13
2024-11-24,17.4,9.8,"Rain, Partially cloudy",0.844
2024-11-25,16.7,7.8,"Rain, Partially cloudy",4.42
2024-11-26,9.0,6.6,"Rain, Partially cloudy",2.929
2024-11-27,12.1,7.1,"Rain, Overcast",4.067
2024-11-28,9.5,1.8,"Rain, Partially cloudy",1.256
2024-11-29,7.8,0.3,"Rain, Partially cloudy",0.18
2024-11-30,6.5,2.5,Partially cloudy,0.0
2024-12-01,8.5,1.4,"Rain, Overcast",0.084
2024-12-02,11.6,8.2,"Rain, Partially cloudy",0.794
2024-12-03,8.5,3.6,"Rain, Partially cloudy",3.318
2024-12-04,7.8,1.6,"Rain, Partially cloudy",0.033
2024-12-05,12.2,5.9,"Rain, Overcast",5.065
2024-12-06,12.0,6.4,"Rain, Partially cloudy",3.318
2024-12-07,10.5,7.3,"Rain, Overcast",5.875
2024-12-08,8.8,6.8,"Rain, Overcast",5.168
2024-12-09,7.4,6.1,"Rain, Overcast",0.328
2024-12-10,6.1,4.7,"Rain, Overcast",0.116
2024-12-11,4.9,3.2,Overcast,0.0
2024-12-12,3.8,2.4,Overcast,0.0
2024-12-13,2.9,1.3,"Rain, Overcast",0.006
2024-12-14,6.5,2.0,"Rain, Overcast",0.081
2024-12-15,11.2,3.9,"Rain, Partially cloudy",0.489
2024-12-16,11.5,8.8,"Rain, Overcast",0.419
2024-12-17,8.8,6.9,"Rain, Partially cloudy",0.054
2024-12-18,13.5,6.9,"Rain, Overcast",0.195
2024-12-19,13.3,5.6,"Rain, Partially cloudy",2.315
2024-12-20,7.7,3.7,"Rain, Partially cloudy",1.059
2024-12-21,11.3,6.9,"Rain, Overcast",1.567
2024-12-22,9.9,5.6,"Rain, Partially cloudy",1.254
2024-12-23,7.7,5.6,"Rain, Overcast",0.402
2024-12-24,9.5,4.7,"Rain, Overcast",0.07
2024-12-25,9.8,8.8,"Rain, Overcast",0.28
2024-12-26,8.7,4.6,"Rain, Overcast",0.017
2024-12-27,4.4,-0.1,Overcast,0.0
2024-12-28,2.2,-2.2,"Snow, Rain, Overcast",0.087
2024-12-29,5.3,0.9,"Rain, Overcast",0.043
2024-12-30,7.8,4.3,"Rain, Overcast",0.231
2024-12-31,8.1,2.4,"Rain, Overcast",0.037
2025-01-01,10.9,4.9,"Rain, Overcast",11.158
2025-01-02,6.1,0.9,"Rain, Partially cloudy",4.493
2025-01-03,4.7,-0.4,"Snow, Rain, Partially cloudy",0.319
2025-01-04,2.3,-0.4,"Rain, Overcast",0.031
2025-01-05,11.9,0.3,"Snow, Rain, Overcast",13.904
2025-01-06,11.8,4.1,"Rain, Overcast",1.714
2025-01-07,4.8,1.5,"Snow, Rain, Partially cloudy",5.511
2025-01-08,2.9,0.3,"Snow, Rain, Partially cloudy",2.399
2025-01-09,3.1,0.5,"Snow, Rain, Partially cloudy",1.146
2025-01-10,2.9,-2.8,"Snow, Rain, Partially cloudy",0.078
2025-01-11,3.1,-2.5,"Snow, Rain, Partially cloudy",0.201
2025-01-12,4.2,1.0,"Snow, Rain, Overcast",0.244
2025-01-13,3.5,-2.3,"Snow, Rain, Partially cloudy",0.088
2025-01-14,4.1,-3.1,"Rain, Partially cloudy",0.057
2025-01-15,8.1,4.3,"Rain, Overcast",0.083
2025-01-16,6.1,1.6,"Rain, Overcast",0.011
2025-01-17,2.8,0.5,Overcast,0.0
2025-01-18,0.7,-1.0,"Snow, Rain, Overcast",0.011
2025-01-19,0.7,0.0,Overcast,0.0
2025-01-20,2.3,-0.2,Overcast,0.0
2025-01-21,0.6,-2.0,Partially cloudy,0.0
2025-01-22,4.3,-0.1,"Snow, Rain, Partially cloudy",7.411
2025-01-23,7.1,2.9,"Rain, Partially cloudy",0.265
2025-01-24,9.9,5.8,"Rain, Overcast",2.632
2025-01-25,7.0,3.9,"Rain, Overcast",6.476
2025-01-26,8.6,1.2,"Rain, Partially cloudy",2.348
2025-01-27,10.6,7.4,"Rain, Partially cloudy",3.421
2025-01-28,9.6,6.9,"Rain, Partially cloudy",4.771
2025-01-29,8.7,5.7,"Rain, Overcast",2.654
2025-01-30,7.6,2.4,"Rain, Partially cloudy",10.431
2025-01-31,6.7,1.9,"Rain, Partially cloudy",0.043
2025-02-01,6.7,-0.8,Rain,0.057
2025-02-02,5.9,-2.1,"Snow, Rain",0.137
2025-02-03,4.2,-1.5,"Snow, Rain, Partially cloudy",0.144
2025-02-04,3.4,1.3,Overcast,0.0
2025-02-05,9.2,2.4,"Rain, Partially cloudy",0.01
2025-02-06,6.1,2.4,"Rain, Overcast",0.01
2025-02-07,4.6,2.7,"Rain, Overcast",0.01
2025-02-08,7.7,2.8,"Rain, Overcast",0.471
2025-02-09,6.7,3.8,"Rain, Overcast",2.692
2025-02-10,3.7,1.7,"Snow, Rain, Partially cloudy",2.973
2025-02-11,5.0,2.7,"Rain, Overcast",1.178
2025-02-12,5.5,3.3,"Rain, Overcast",0.359
2025-02-13,4.0,0.7,"Rain, Overcast",0.267
2025-02-14,3.5,-2.2,"Rain, Partially cloudy",0.036
2025-02-15,2.7,-2.1,"Snow, Rain, Partially cloudy",0.098
2025-02-16,3.0,-1.5,"Snow, Rain, Partially cloudy",0.091
2025-02-17,3.9,-2.9,Partially cloudy,0.0
2025-02-18,5.0,-2.2,"Rain, Partially cloudy",0.036
2025-02-19,6.9,-0.9,Partially cloudy,0.0
2025-02-20,13.1,3.6,Partially cloudy,0.0
2025-02-21,16.0,10.6,"Rain, Overcast",0.195
2025-02-22,12.1,8.2,"Rain, Partially cloudy",5.165
2025-02-23,13.8,5.3,"Rain, Partially cloudy",0.021
2025-02-24,11.9,7.5,"Rain, Partially cloudy",1.287
2025-02-25,10.4,5.8,"Rain, Overcast",0.474
2025-02-26,9.4,3.5,"Rain, Partially cloudy",3.97
2025-02-27,6.8,3.0,"Rain, Partially cloudy",1.198
2025-02-28,8.6,2.9,"Rain, Partially cloudy",0.792
2025-03-01,7.2,0.7,"Rain, Partially cloudy",0.199
2025-03-02,8.8,-0.5,Rain,0.148
2025-03-03,10.0,-2.3,"Snow, Rain",0.159
2025-03-04,13.7,-0.7,"Snow, Rain",0.17
2025-03-05,15.2,0.8,"Snow, Rain",0.047
2025-03-06,16.6,2.9,Rain,0.068
2025-03-07,17.5,6.7,Partially cloudy,0.0
2025-03-08,18.6,6.8,Partially cloudy,0.0
2025-03-09,19.0,6.2,Partially cloudy,0.0
2025-03-10,16.2,5.8,Partially cloudy,0.0
2025-03-11,7.8,2.6,Partially cloudy,0.0
2025-03-12,7.7,2.0,"Rain, Partially cloudy",0.709
2025-03-13,7.2,0.9,"Snow, Rain, Partially cloudy",0.754
2025-03-14,7.4,-0.4,"Snow, Rain, Partially cloudy",0.169
2025-03-15,7.2,-0.3,Partially cloudy,0.0
2025-03-16,9.3,0.8,Partially cloudy,0.0
2025-03-17,8.5,1.4,Partially cloudy,0.0
2025-03-18,12.1,-0.9,Rain,0.036
2025-03-19,17.3,1.7,Clear,0.0
2025-03-20,19.2,4.9,Partially cloudy,0.0
2025-03-21,17.8,7.6,Overcast,0.0
2025-03-22,17.6,11.0,"Rain, Partially cloudy",2.514
2025-03-23,14.4,8.9,"Rain, Partially cloudy",1.718
2025-03-24,11.1,5.8,"Rain, Partially cloudy",0.047
2025-03-25,13.4,3.5,"Rain, Partially cloudy",0.058
2025-03-26,12.5,5.4,"Rain, Partially cloudy",0.066
2025-03-27,17.1,1.2,"Snow, Rain",0.115
2025-03-28,11.9,5.4,"Rain, Partially cloudy",0.139
2025-03-29,13.2,4.0,"Rain, Partially cloudy",0.271
2025-03-30,15.1,6.7,"Rain, Partially cloudy",0.112
2025-03-31,13.4,5.4,Partially cloudy,0.0
2025-04-01,14.5,3.0,Rain,0.127
2025-04-02,17.7,5.5,Clear,0.0
2025-04-03,21.7,8.2,Partially cloudy,0.0
2025-04-04,22.5,9.6,Partially cloudy,0.0
2025-04-05,19.3,7.2,Clear,0.0
2025-04-06,15.8,5.8,Clear,0.0
2025-04-07,15.0,2.0,Clear,0.0
2025-04-08,16.9,2.6,Rain,0.091
